WARNING *** file size (719348) not 512 + multiple of sector size (512)
WARNING *** OLE2 inconsistency: SSCS size is 0 but SSAT size is non-zero
_unnamed,_unnamed_2,_unnamed_3,_unnamed_4,_unnamed_5,_unnamed_6,_unnamed_7,_unnamed_8,_unnamed_9,_unnamed_10,_unnamed_11,_unnamed_12,_unnamed_13
"City of Chicago, Illinois",,,,,,,,,District Canvass,,,
RunOff & Suppl Aldermanic,,,,,,,,,"April 2, 2019",,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,"1     Mayor
2     Treasurer",,,,,,,,,,
,,,,,,,1,1,,,2,2
ward_precinct,,Registered,Ballots Cast,Turnout (%),,,LORI LIGHTFOOT,TONI PRECKWINKLE,,,MELISSA CONYEARS-ERVIN,AMEYA PAWAR
Ward 10 Precinct 17,Total,943,301,31.92,,,259,40,,,174,120
Ward 10 Precinct 18,Total,592,110,18.58,,,73,37,,,90,16
Ward 10 Precinct 19,Total,788,228,28.93,,,197,27,,,117,96
Ward 10 Precinct 20,Total,813,247,30.38,,,208,39,,,140,90
Ward 10 Precinct 21,Total,835,186,22.28,,,169,17,,,94,80
Ward 10 Precinct 23,Total,747,145,19.41,,,119,26,,,84,55
Ward 10 Precinct 25,Total,245,67,27.35,,,50,17,,,48,16
Ward 10 Precinct 28,Total,915,191,20.87,,,149,42,,,103,81
Ward 10 Precinct 29,Total,791,151,19.09,,,140,9,,,87,50
Ward 10 Precinct 31,Total,746,131,17.56,,,109,22,,,62,65
Ward 10 Precinct 32,Total,795,172,21.64,,,144,28,,,84,79
Ward 10 Precinct 33,Total,671,125,18.63,,,99,25,,,71,46
Ward 10 Precinct 36,Total,229,57,24.89,,,38,19,,,38,17
,,,,,,,,,,,,
Ward 10,Total,20974,5046,24.06,,,4088,938,,,3029,1780
,,,,,,,,,,,,
,,,,,,,,,,,,
Ward 11 Precinct 01,Total,918,270,29.41,,,198,68,,,161,98
Ward 11 Precinct 02,Total,386,12,3.11,,,6,6,,,7,5
Ward 11 Precinct 03,Total,764,218,28.53,,,131,87,,,75,129
Ward 11 Precinct 04,Total,783,204,26.05,,,147,56,,,107,84
Ward 11 Precinct 05,Total,1182,299,25.30,,,188,110,,,141,148
Ward 11 Precinct 06,Total,1131,373,32.98,,,279,94,,,179,171
Ward 11 Precinct 08,Total,922,229,24.84,,,180,48,,,104,112
Ward 11 Precinct 09,Total,858,207,24.13,,,155,52,,,112,85
Ward 11 Precinct 10,Total,944,220,23.31,,,149,70,,,101,107
Ward 11 Precinct 11,Total,916,257,28.06,,,199,58,,,136,112
Ward 11 Precinct 12,Total,1098,420,38.25,,,366,54,,,254,151
Ward 11 Precinct 13,Total,1023,338,33.04,,,259,77,,,235,86
Ward 11 Precinct 14,Total,625,175,28.00,,,107,66,,,87,82
